FIELD CODE,FIELD NAME,CONTENT TO REPORT,LOAN 1,LOAN 2,LOAN 3,LOAN 4,LOAN 5,__errors__
AUTL71,Reason for Default or Foreclosure,Reason if in default,,,,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL72,Default Amount,Total gross default amount,0 EUR,0 EUR,0 EUR,0 EUR,0 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL73,Default Date,Date of default,,,,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL74,Allocated Losses,Allocated losses to date,0 EUR,0 EUR,0 EUR,0 EUR,0 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL75,Residual Value Losses,Residual value loss on vehicle turn-in,0 EUR,0 EUR,0 EUR,0 EUR,0 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL76,Cumulative Recoveries,Total recoveries on defaulted debt,0 EUR,0 EUR,0 EUR,0 EUR,0 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL77,Sale Price,Price achieved on vehicle sale,,,,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL78,Deposit Amount,Obligor amounts held potentially offsettable,1500 EUR,1200 EUR,2000 EUR,800 EUR,600 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL79,Original Lender Name,Full legal name of original lender,Deutsche Bank AG,BNP Paribas SA,UniCredit S.p.A.,Banco Santander SA,ING Bank N.V.,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL80,Original Lender Legal Entity Identifier,LEI of original lender,7LTWFZYICNSX8D621K86,R0MUWSFPU8MPRO8K5P83,549300TRUWO2CD2G5692,5493000F4ZS2OMX7J513,724500VKKSH9QOLTFR81,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL81,Original Lender Establishment Country,Country where original lender established,DE,FR,IT,ES,NL,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL82,Originator Name,Full legal name of originator,Deutsche Bank AG,BNP Paribas SA,UniCredit S.p.A.,Banco Santander SA,ING Bank N.V.,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL83,Originator Legal Entity Identifier,LEI of originator,7LTWFZYICNSX8D621K86,R0MUWSFPU8MPRO8K5P83,549300TRUWO2CD2G5692,5493000F4ZS2OMX7J513,724500VKKSH9QOLTFR81,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL84,Originator Establishment Country,Country where originator established,DE,FR,IT,ES,NL,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
